country_name,series_name,yr2020,yr2021,yearly_change
Afghanistan,Population growth (annual %),..,..,
Albania,Population growth (annual %),..,..,
Algeria,Population growth (annual %),..,..,
American Samoa,Population growth (annual %),..,..,
Andorra,Population growth (annual %),..,..,
Angola,Population growth (annual %),..,..,
Antigua and Barbuda,Population growth (annual %),..,..,
Arab World,Population growth (annual %),1.805300409,1.76150384,-0.043796568999999952
Argentina,Population growth (annual %),..,..,
Armenia,Population growth (annual %),..,..,
Aruba,Population growth (annual %),..,..,
Australia,Population growth (annual %),..,..,
Austria,Population growth (annual %),..,..,
Azerbaijan,Population growth (annual %),..,..,
"Bahamas, The",Population growth (annual %),..,..,
Bahrain,Population growth (annual %),..,..,
Bangladesh,Population growth (annual %),..,..,
Barbados,Population growth (annual %),..,..,
Belarus,Population growth (annual %),..,..,
Belgium,Population growth (annual %),..,..,
Belize,Population growth (annual %),..,..,
Benin,Population growth (annual %),..,..,
Bermuda,Population growth (annual %),..,..,
Bhutan,Population growth (annual %),..,..,
Bolivia,Population growth (annual %),..,..,
Bosnia and Herzegovina,Population growth (annual %),..,..,
Botswana,Population growth (annual %),..,..,
Brazil,Population growth (annual %),..,..,
Brunei Darussalam,Population growth (annual %),..,..,
Bulgaria,Population growth (annual %),..,..,
Burkina Faso,Population growth (annual %),..,..,
Burundi,Population growth (annual %),..,..,
Cabo Verde,Population growth (annual %),..,..,
Cambodia,Population growth (annual %),..,..,
Cameroon,Population growth (annual %),..,..,
Canada,Population growth (annual %),..,..,
Caribbean small states,Population growth (annual %),0.580431177,0.549601539,-0.030829638000000048
Cayman Islands,Population growth (annual %),..,..,
Central African Republic,Population growth (annual %),..,..,
Central Europe and the Baltics,Population growth (annual %),-0.181051853,-0.202833823,-0.021781969999999984
Chad,Population growth (annual %),..,..,
Channel Islands,Population growth (annual %),..,..,
Chile,Population growth (annual %),..,..,
China,Population growth (annual %),..,..,
Colombia,Population growth (annual %),..,..,
Comoros,Population growth (annual %),..,..,
"Congo, Dem. Rep.",Population growth (annual %),..,..,
"Congo, Rep.",Population growth (annual %),..,..,
Costa Rica,Population growth (annual %),..,..,
Cote d'Ivoire,Population growth (annual %),..,..,