country_name,indicator_name,value_1960,previous_value
Afghanistan,"Age population, age 0, female, interpolated",178556.0,
Afghanistan,"Age population, age 0, male, interpolated",177635.0,178556.0
Afghanistan,"Age population, age 01, female, interpolated",162320.0,177635.0
Afghanistan,"Age population, age 01, male, interpolated",165324.0,162320.0
Afghanistan,"Age population, age 02, female, interpolated",149031.0,165324.0
Afghanistan,"Age population, age 02, male, interpolated",154536.0,149031.0
Afghanistan,"Age population, age 03, female, interpolated",138378.0,154536.0
Afghanistan,"Age population, age 03, male, interpolated",145153.0,138378.0
Afghanistan,"Age population, age 04, female, interpolated",130047.0,145153.0
Afghanistan,"Age population, age 04, male, interpolated",137059.0,130047.0
Afghanistan,"Age population, age 05, female, interpolated",123728.0,137059.0
Afghanistan,"Age population, age 05, male, interpolated",130134.0,123728.0
Afghanistan,"Age population, age 06, female, interpolated",119108.0,130134.0
Afghanistan,"Age population, age 06, male, interpolated",124264.0,119108.0
Afghanistan,"Age population, age 07, female, interpolated",115875.0,124264.0
Afghanistan,"Age population, age 07, male, interpolated",119328.0,115875.0
Afghanistan,"Age population, age 08, female, interpolated",113718.0,119328.0
Afghanistan,"Age population, age 08, male, interpolated",115212.0,113718.0
Afghanistan,"Age population, age 09, female, interpolated",112325.0,115212.0
Afghanistan,"Age population, age 09, male, interpolated",111795.0,112325.0
Afghanistan,"Age population, age 10, female, interpolated",111850.0,111795.0
Afghanistan,"Age population, age 10, male, interpolated",109013.0,111850.0
Afghanistan,"Age population, age 11, female, interpolated",112447.0,109013.0
Afghanistan,"Age population, age 11, male, interpolated",106800.0,112447.0
Afghanistan,"Age population, age 12, female, interpolated",111473.0,106800.0
Afghanistan,"Age population, age 12, male, interpolated",104781.0,111473.0
Afghanistan,"Age population, age 13, female, interpolated",107682.0,104781.0
Afghanistan,"Age population, age 13, male, interpolated",102732.0,107682.0
Afghanistan,"Age population, age 14, female, interpolated",102162.0,102732.0
Afghanistan,"Age population, age 14, male, interpolated",100693.0,102162.0
Afghanistan,"Age population, age 15, female, interpolated",97200.0,100693.0
Afghanistan,"Age population, age 15, male, interpolated",98951.0,97200.0
Afghanistan,"Age population, age 16, female, interpolated",92279.0,98951.0
Afghanistan,"Age population, age 16, male, interpolated",97482.0,92279.0
Afghanistan,"Age population, age 17, female, interpolated",88099.0,97482.0
Afghanistan,"Age population, age 17, male, interpolated",95699.0,88099.0
Afghanistan,"Age population, age 18, female, interpolated",85217.0,95699.0
Afghanistan,"Age population, age 18, male, interpolated",93345.0,85217.0
Afghanistan,"Age population, age 19, female, interpolated",83183.0,93345.0
Afghanistan,"Age population, age 19, male, interpolated",90640.0,83183.0
Afghanistan,"Age population, age 20, female, interpolated",80987.0,90640.0
Afghanistan,"Age population, age 20, male, interpolated",88065.0,80987.0
Afghanistan,"Age population, age 21, female, interpolated",78832.0,88065.0
Afghanistan,"Age population, age 21, male, interpolated",85538.0,78832.0
Afghanistan,"Age population, age 22, female, interpolated",76635.0,85538.0
Afghanistan,"Age population, age 22, male, interpolated",83075.0,76635.0
Afghanistan,"Age population, age 23, female, interpolated",74256.0,83075.0
Afghanistan,"Age population, age 23, male, interpolated",80738.0,74256.0
Afghanistan,"Age population, age 24, female, interpolated",71789.0,80738.0
Afghanistan,"Age population, age 24, male, interpolated",78505.0,71789.0